# Drag Coefficient vs AoA (Up to date)
# 293 data points written for 7 variables.
#
# Time (s),Angle of attack (°),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,92.579,1.06,-2.365e-4,0.579,0.361,0.12
0.02,91.776,1.061,-7.804e-5,0.58,0.361,0.12
0.03,90.753,1.063,-6.02e-6,0.582,0.361,0.12
0.04,89.113,1.064,9.829e-6,0.583,0.361,0.12
0.05,86.509,1.066,5.845e-4,0.584,0.361,0.12
0.06,82.161,1.065,0.006,0.584,0.361,0.12
0.07,76.127,1.063,0.033,0.582,0.361,0.12
0.08,68.728,1.058,0.106,0.576,0.361,0.12
# Event LIFTOFF occurred at t=0.09 seconds
0.09,60.531,1.049,0.25,0.568,0.361,0.12
0.1,52.212,1.036,0.457,0.555,0.361,0.12
0.11,44.998,1.02,0.668,0.539,0.361,0.12
0.12,38.663,1.003,0.857,0.522,0.361,0.12
0.13,33.319,0.986,1.003,0.505,0.361,0.12
0.14,29.01,0.971,1.099,0.49,0.361,0.12
0.15,25.588,0.957,1.156,0.476,0.361,0.12
0.16,22.747,0.945,1.187,0.463,0.361,0.12
0.17,20.45,0.934,1.199,0.453,0.361,0.12
0.18,18.56,0.924,1.198,0.443,0.361,0.12
0.19,16.981,0.915,1.19,0.434,0.361,0.12
0.2,15.644,0.907,1.175,0.426,0.361,0.12
0.21,14.492,0.9,1.154,0.419,0.361,0.12
0.22,13.497,0.894,1.132,0.412,0.361,0.12
0.23,12.63,0.888,1.11,0.406,0.361,0.12
0.24,11.867,0.882,1.089,0.401,0.361,0.12
0.25,11.192,0.877,1.069,0.395,0.361,0.12
0.259,10.616,0.872,1.051,0.391,0.361,0.12
# Event LAUNCHROD occurred at t=0.268 seconds
0.268,10.128,0.868,1.035,0.387,0.361,0.12
0.282,9.368,0.863,1.012,0.381,0.361,0.12
0.302,8.326,0.855,0.979,0.373,0.361,0.12
0.322,7.236,0.848,0.947,0.367,0.361,0.12
0.341,6.276,0.843,0.92,0.361,0.361,0.12
0.36,5.416,0.837,0.898,0.355,0.362,0.12
0.379,4.605,0.833,0.878,0.351,0.362,0.12
0.399,3.784,0.828,0.86,0.346,0.362,0.121
0.42,2.858,0.824,0.842,0.342,0.362,0.121
0.446,1.789,0.819,0.827,0.337,0.362,0.121
0.485,0.363,0.813,0.813,0.33,0.362,0.121
0.535,1.33,0.806,0.81,0.322,0.362,0.121
0.556,1.879,0.803,0.811,0.32,0.362,0.121
0.571,2.063,0.802,0.811,0.318,0.363,0.121
0.584,2.16,0.8,0.811,0.316,0.363,0.121
0.596,2.195,0.799,0.81,0.315,0.363,0.122
0.608,2.189,0.798,0.809,0.313,0.363,0.122
0.619,2.143,0.797,0.807,0.312,0.363,0.122
0.63,2.058,0.796,0.805,0.311,0.363,0.122
0.64,1.935,0.795,0.803,0.31,0.363,0.122
0.651,1.772,0.794,0.801,0.309,0.363,0.122
0.663,1.56,0.793,0.798,0.308,0.363,0.122
0.675,1.294,0.792,0.796,0.306,0.363,0.122
0.69,0.95,0.791,0.793,0.305,0.363,0.122
0.709,0.483,0.789,0.79,0.303,0.364,0.122
0.738,0.177,0.787,0.787,0.301,0.364,0.122
0.782,0.867,0.784,0.786,0.297,0.364,0.123
0.796,1.032,0.784,0.786,0.296,0.364,0.123
0.808,1.089,0.783,0.786,0.296,0.364,0.123
0.819,1.099,0.782,0.785,0.295,0.365,0.123
0.83,1.065,0.782,0.785,0.294,0.365,0.123
0.841,0.991,0.781,0.784,0.293,0.365,0.123
0.852,0.872,0.781,0.783,0.293,0.365,0.123
0.864,0.692,0.78,0.781,0.292,0.365,0.124
0.88,0.43,0.78,0.78,0.291,0.365,0.124
0.903,0.01,0.779,0.779,0.29,0.365,0.124
0.937,0.518,0.778,0.778,0.288,0.366,0.124
0.953,0.689,0.777,0.778,0.287,0.366,0.124
0.965,0.727,0.777,0.778,0.286,0.366,0.124
0.976,0.714,0.776,0.777,0.286,0.366,0.124
0.988,0.658,0.776,0.777,0.285,0.366,0.125
0.999,0.557,0.776,0.776,0.285,0.366,0.125
1.013,0.426,0.775,0.776,0.284,0.366,0.125
1.031,0.214,0.775,0.775,0.284,0.366,0.125
1.058,0.115,0.774,0.774,0.283,0.367,0.125
1.098,0.395,0.774,0.775,0.282,0.367,0.125
1.113,0.453,0.774,0.775,0.282,0.367,0.125
1.129,0.408,0.774,0.775,0.283,0.367,0.125
1.146,0.3,0.774,0.775,0.283,0.367,0.125
1.169,0.062,0.775,0.775,0.283,0.367,0.125
# Event BURNOUT occurred at t=1.192 seconds
1.192,0.175,0.775,0.775,0.283,0.366,0.125
1.226,0.264,0.775,0.775,0.284,0.366,0.125
1.252,0.213,0.775,0.775,0.284,0.366,0.125
1.287,0.108,0.776,0.776,0.285,0.366,0.125
1.337,0.08,0.776,0.776,0.286,0.366,0.125
1.387,0.236,0.777,0.777,0.286,0.366,0.124
1.418,0.241,0.777,0.777,0.287,0.366,0.124
1.452,0.102,0.777,0.777,0.287,0.366,0.124
1.502,0.13,0.778,0.778,0.288,0.366,0.124
1.552,0.217,0.778,0.778,0.289,0.365,0.124
1.588,0.235,0.779,0.779,0.289,0.365,0.124
1.626,0.006,0.779,0.779,0.29,0.365,0.124
1.676,0.244,0.78,0.78,0.291,0.365,0.124
1.71,0.284,0.78,0.78,0.291,0.365,0.124
1.744,0.143,0.78,0.78,0.292,0.365,0.124
1.794,0.109,0.781,0.781,0.293,0.365,0.123
1.844,0.236,0.781,0.782,0.293,0.365,0.123
1.885,0.188,0.782,0.782,0.294,0.365,0.123
1.935,0.024,0.783,0.783,0.295,0.365,0.123
1.985,0.162,0.783,0.783,0.296,0.364,0.123
2.035,0.265,0.784,0.784,0.296,0.364,0.123
2.077,0.17,0.784,0.784,0.297,0.364,0.123
2.127,0.052,0.785,0.785,0.298,0.364,0.123
2.177,0.23,0.786,0.786,0.299,0.364,0.123
2.227,0.212,0.786,0.786,0.3,0.364,0.123
2.277,0.074,0.787,0.787,0.3,0.364,0.123
2.327,0.162,0.788,0.788,0.301,0.364,0.122
2.377,0.254,0.788,0.788,0.302,0.364,0.122
2.427,0.154,0.789,0.789,0.303,0.364,0.122
2.477,0.09,0.79,0.79,0.304,0.364,0.122
2.527,0.041,0.79,0.79,0.305,0.363,0.122
2.577,0.17,0.791,0.791,0.306,0.363,0.122
2.627,0.238,0.792,0.792,0.306,0.363,0.122
2.677,0.063,0.793,0.793,0.307,0.363,0.122
2.727,0.039,0.793,0.793,0.308,0.363,0.122
2.777,0.017,0.794,0.794,0.309,0.363,0.122
2.827,0.084,0.795,0.795,0.31,0.363,0.122
2.877,0.173,0.796,0.796,0.311,0.363,0.122
2.927,0.238,0.797,0.797,0.312,0.363,0.122
2.977,0.062,0.797,0.797,0.313,0.363,0.122
3.027,0.091,0.798,0.798,0.314,0.363,0.122
3.077,0.263,0.799,0.799,0.315,0.363,0.122
3.127,0.173,0.8,0.8,0.316,0.363,0.121
3.177,0.143,0.801,0.801,0.317,0.363,0.121
3.227,0.014,0.802,0.802,0.318,0.363,0.121
