# Cp vs AoA (Up to date)
# 289 data points written for 2 variables.
#
# Angle of attack (°),CP location (cm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
92.538,NaN
91.73,NaN
90.726,NaN
89.154,NaN
86.703,NaN
82.683,NaN
77.18,NaN
70.486,NaN
# Event LIFTOFF occurred at t=0.09 seconds
63.06,NaN
55.433,NaN
48.098,NaN
41.456,NaN
35.721,NaN
31.017,NaN
27.234,NaN
23.859,NaN
21.11,NaN
18.839,NaN
16.939,NaN
15.331,NaN
14.004,NaN
12.859,NaN
11.863,NaN
10.99,NaN
10.218,NaN
9.616,NaN
# Event LAUNCHROD occurred at t=0.268 seconds
9.106,NaN
8.331,106.193
7.326,106.78
6.683,107.169
6.111,107.525
5.29,108.051
4.401,108.642
3.498,109.267
2.57,109.936
1.482,110.756
0.045,111.904
1.256,110.937
1.698,110.598
1.9,110.446
2.004,110.368
2.039,110.343
2.022,110.356
1.962,110.402
1.862,110.479
1.7,110.603
1.458,110.79
1.153,111.027
0.752,111.345
0.393,111.636
0.102,111.876
0.684,111.409
0.836,111.29
0.848,111.282
0.807,111.316
0.771,111.345
0.691,111.41
0.555,111.521
0.31,111.72
0.117,111.88
0.582,111.508
0.697,111.417
0.707,111.41
0.609,111.489
0.456,111.613
0.216,111.808
0.091,111.912
0.343,111.707
0.433,111.635
0.421,111.644
0.343,111.706
0.138,111.873
# Event BURNOUT occurred at t=1.192 seconds
0.079,111.92
0.271,111.763
0.318,111.724
0.269,111.763
0.121,111.883
0.141,111.865
0.265,111.762
0.204,111.811
0.046,111.939
0.218,111.797
0.243,111.776
0.038,111.943
0.133,111.863
0.12,111.873
0.035,111.941
0.112,111.877
0.071,111.91
0.006,111.962
0.037,111.935
0.041,111.931
0.004,111.96
0.046,111.925
0.049,111.922
0.003,111.958
0.084,111.891
0.085,111.889
0.087,111.886
0.062,111.906
0.043,111.921
0.158,111.826
0.118,111.858
0.068,111.898
0.1,111.871
0.203,111.786
0.171,111.811
0.004,111.948
0.179,111.804
0.239,111.754
0.18,111.801
0.084,111.88
0.273,111.724
0.241,111.75
0.155,111.819
0.009,111.939
0.359,111.652
0.534,111.51
0.232,111.754
0.119,111.846
0.444,111.581
0.52,111.52
0.573,111.476
0.266,111.724
0.137,111.829
0.197,111.78
0.352,111.653
0.364,111.643
0.288,111.704
0.167,111.802
0.042,111.905
0.174,111.796
0.329,111.669
0.342,111.658
0.375,111.631
0.086,111.867
0.299,111.692
0.368,111.636
0.043,111.901
0.232,111.746
0.495,111.532
0.82,111.272
1.055,111.086
1.06,111.082
0.861,111.239
0.363,111.637
0.032,111.908
0.202,111.768
0.417,111.593
0.784,111.298
1.18,110.986
0.769,111.31
0.067,111.878
0.27,111.712
0.569,111.469
1.108,111.041
# Event EJECTION_CHARGE occurred at t=5.192 seconds
1.315,110.88
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=5.193 seconds
1.347,110.854
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
# Event APOGEE occurred at t=5.823 seconds
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
# Event GROUND_HIT occurred at t=38.657 seconds
# Event SIMULATION_END occurred at t=38.657 seconds
NaN,NaN
